iso,pays,annee,perte_biomasse_Mg,perte_surface_ha
AFG,Afghanistan,2001,10247.471355643016,88.09271247242818
AGO,Angola,2001,16083306.658608384,101220.62152449829
ALA,Iles Aland,2001,34961.68477768484,396.93482567170076
ALB,Albanie,2001,615860.8451132022,3729.021031483717
AND,Andorre,2001,273.4194761669196,1.6542129477169363
ARG,Argentine,2001,13268809.17129259,147805.95035563706
ARM,Armenie,2001,18160.70564609262,131.84061226449543
ATG,Antigua-et-Barbuda,2001,2927.477313709674,24.074189438288734
AUS,Australie,2001,16009704.57580626,218817.77415599072
AUT,Autriche,2001,1279790.6576843804,6926.269007849325
AZE,Azerbaidjan,2001,70481.86056064825,553.2993561210785
BDI,Burundi,2001,206821.06193150702,1417.2469570863386
BEL,Belgique,2001,191837.4350978859,971.4881952763179
BEN,Benin,2001,478051.1404249708,3749.331105182784
BES,Pays-Bas caribeens,2001,507.45071020574613,3.0318572528930003
BFA,Burkina Faso,2001,6076.335119252066,59.47710511237852
BGD,Bangladesh,2001,1048220.0416167944,4586.997202714803
BGR,Bulgarie,2001,1088080.5351984329,8202.319111660232
BHS,Bahamas,2001,33221.94467263783,432.99941970355684
BIH,Bosnie-Herzegovine,2001,282938.4549612633,1496.1071045482752
BLR,Bielorussie,2001,2309333.236839127,18358.964278886404
BLZ,Belize,2001,1451874.4657174128,8211.629492547681
BMU,Bermudes,2001,29.50421447085582,0.19581979363933033
BOL,Bolivie,2001,26429745.059562217,140321.2605309791
BRA,Bresil,2001,494842681.3839967,2746361.5567061193
BRB,Barbade,2001,1512.7248380703127,12.367461564155155
BRN,Brunei Darussalam,2001,355750.70162614784,1244.453822867959
BTN,Bhoutan,2001,75759.56668959132,297.65963149428154
BWA,Botswana,2001,9963.069259199332,130.9838814771667
CAF,Republique centrafricaine,2001,6259548.18145242,31282.43685307253
CAN,Canada,2001,114981774.0288226,1358154.7994920975
CHE,Suisse,2001,244563.91238233878,1165.2132473263043
CHL,Chili,2001,9556729.07397461,72711.30280696682
CHN,Chine,2001,40387339.44823387,230289.11527880246
CIV,Cote d Ivoire,2001,19968554.604410984,122711.45023838061
CMR,Cameroun,2001,8437551.682904737,39203.71718120769
COD,Republique democratique du Congo,2001,107983169.05855441,455516.73897045903
COG,Republique du Congo,2001,5996406.809919566,27030.696217873643
COL,Colombie,2001,47346193.00919147,230054.835672377
COM,Comores,2001,7410.688026778093,36.973693208113474
CPV,Cap-Vert,2001,,7.13645079432583
CRI,Costa Rica,2001,2918658.4742621295,15461.879449467175
CUB,Cuba,2001,2258779.4833381088,18942.9087780276
CYM,Iles Cayman,2001,1707.109183625168,20.681612199946233
CYP,Chypre,2001,7735.843180966398,78.62890207431754
CZE,Republique tcheque,2001,602080.1784278991,3460.1425855060706
DEU,Allemagne,2001,2809020.7645876124,15286.38056788727
DMA,Dominique,2001,5645.02287146733,22.792755510800124
DNK,Danemark,2001,477170.90671634296,4329.2958531879685
DOM,Republique dominicaine,2001,1734355.0248989346,11246.810065544803
DZA,Algerie,2001,365692.59647132247,3468.7602521703225
ECU,equateur,2001,10479940.092793735,45001.46869791996
EGY,egypte,2001,13069.140393803016,147.7649426811371
ERI,erythree,2001,449.1318235446374,2.529524332602501
ESP,Espagne,2001,4649241.739784077,32811.05351921235
EST,Estonie,2001,1698105.748136992,16872.434505280275
ETH,ethiopie,2001,2175747.9235629253,11947.24724356126
FIN,Finlande,2001,12753976.370001907,151003.26050003836
FJI,Fidji,2001,245942.326140519,1097.7640543965972
FRA,France,2001,5834716.504351649,34420.96339434102
GAB,Gabon,2001,3688765.9641557313,15082.637729593138
GBR,Royaume-Uni,2001,3474738.733822708,23244.12725064032
GEO,Georgie,2001,112987.46367566945,666.5563666120051
GGY,Guernesey,2001,114.97259171737193,0.957678035646647
GHA,Ghana,2001,7194314.217893691,43644.05617298999
GIN,Guinee,2001,2685841.557142761,18571.525855882664
GLP,Guadeloupe,2001,49504.57502311641,320.7023855663232
GMB,Gambie,2001,289.7270909961047,3.2974218630448364
GNB,Guinee-Bissau,2001,311517.9847861298,2362.1530283449556
GNQ,Guinee equatoriale,2001,932939.7886122894,3585.419101424055
GRC,Grece,2001,1479967.425647156,12616.822022140961
GRD,Grenade,2001,7746.381264737329,32.810858868202715
GTM,Guatemala,2001,9112600.313838508,53310.175152470285
GUF,Guyane française,2001,977709.4623482154,3033.287748554058
GUY,Guyane,2001,2689474.4828720586,10039.867706898687
HKG,Hong Kong,2001,1528.3996993906896,7.981291213915408
HND,Honduras,2001,7470899.467714477,42380.17445674393
HRV,Croatie,2001,555405.7181548455,3378.4896036338837
HTI,Haiti,2001,350479.87833218527,2469.0482983445613
HUN,Hongrie,2001,1166350.4667069763,7522.059331818267
IDN,Indonesie,2001,179413028.09227085,744087.9891098508
IMN,Ile de Man,2001,2066.5561246869142,15.975437616743115
IND,Inde,2001,14166614.477954624,62361.174495384395
IRL,Irlande,2001,1714267.7001866323,9559.474140866358
IRN,Iran,2001,35391.26560961714,332.48370537379236
IRQ,Irak,2001,1810.4062099541343,16.026636417037192
ISR,Israel,2001,13840.101654667606,145.9652380545117
ITA,Italie,2001,1172744.5571170414,9871.496931661846
JAM,Jamaique,2001,252829.28064725274,1246.2415233271208
JEY,Jersey,2001,657.1799771600799,3.6963388705227933
JOR,Jordanie,2001,46.98282713144372,0.5220280310915502
JPN,Japon,2001,4100042.6730346065,23977.46161886231
KAZ,Kazakhstan,2001,519084.95855442755,4534.702741324709
KEN,Kenya,2001,3826150.7272711336,19027.211048887584
KGZ,Kirghizistan,2001,67921.52354995253,589.2263559968983
KHM,Cambodge,2001,6020735.782776639,28491.443870947376
KNA,Saint-Kitts-et-Nevis,2001,7835.488289301029,45.60965867600311
KOR,Coree du Sud,2001,634425.2597271297,5503.445334868549
LAO,Laos,2001,8170651.375236167,36474.65075046269
LBN,Liban,2001,32317.752892699216,299.404267598162
LBR,Liberia,2001,5434033.54972033,29185.670180330653
LBY,Libye,2001,1500.746550954912,17.152701516998924
LCA,Sainte-Lucie,2001,6344.046106947488,31.08046320852364
LIE,Liechtenstein,2001,760.1141083856244,3.4239432119278015
LKA,Sri Lanka,2001,630057.4834458951,3759.510363382602
LSO,Lesotho,2001,140.51592930988392,1.1400521308137561
LTU,Lituanie,2001,967462.5606361899,7961.687395217164
LUX,Luxembourg,2001,13808.824272001228,68.6096919671928
LVA,Lettonie,2001,2869992.310410503,24907.621124473088
MAC,Macao,2001,,1.4280703393362622
MAR,Maroc,2001,214387.5646246777,1868.2886058844763
MDA,Moldavie,2001,15973.72566809678,146.68806072638031
MDG,Madagascar,2001,17588874.600183617,86956.83269885098
MEX,Mexique,2001,20796791.156523883,158302.9884905899
MKD,Macedoine,2001,292428.82952683035,2059.864143130136
MLI,Mali,2001,48733.67873941855,347.8706881063303
MLT,Malte,2001,134.07962740224366,1.2519125375846887
MMR,Myanmar,2001,9948215.29475695,44804.239127305955
MNE,Montenegro,2001,160584.24654500154,858.4920805239993
MNG,Mongolie,2001,2180417.0436868747,21056.722644031623
MOZ,Mozambique,2001,8486221.199084314,60936.64967623526
MRT,Mauritanie,2001,3418.13282104069,31.838435367579606
MSR,Montserrat,2001,1314.8671588128848,7.078555305502111
MTQ,Martinique,2001,38392.46499702374,192.96524826154285
MUS,Maurice,2001,35697.209753560295,156.58138352490496
MWI,Malawi,2001,405676.24279004626,2488.280770450354
MYS,Malaisie,2001,76459334.30979393,332497.42453449755
MYT,Mayotte,2001,6850.8300455895305,31.30269366677321
NAM,Namibie,2001,37750.86280483338,417.5124607427558
NCL,Nouvelle-Caledonie,2001,112378.98118711033,697.9210994349734
NER,Niger,2001,10.964283530266306,0.15019566479816857
NGA,Nigeria,2001,5997525.96862416,43386.4946204678
NIC,Nicaragua,2001,8544278.844706323,44109.79204906223
NLD,Pays-Bas,2001,119279.84668826155,736.4216233847905
NOR,Norvege,2001,2001305.310935776,22445.941399305746
NPL,Nepal,2001,413173.67231633817,1523.1947518804527
NZL,Nouvelle-Zelande,2001,9229637.680041635,50528.28239025937
PAK,Pakistan,2001,37578.187221385524,217.7703950855707
PAN,Panama,2001,3967214.514344876,18264.10740919845
PER,Perou,2001,22699286.23075998,86013.8664907542
PHL,Philippines,2001,8181886.456138948,35165.191704455654
PLW,Palau,2001,16440.3883909864,52.11206111854149
PNG,Papouasie-Nouvelle-Guinee,2001,10559844.946066525,36005.13509686963
POL,Pologne,2001,2553619.6367795835,19066.10207518364
PRI,Puerto Rico,2001,220866.53108456772,1252.3622311306517
PRK,Coree du Nord,2001,1372331.94482472,11945.609487843654
