iso,pays,annee,perte_biomasse_Mg,perte_surface_ha,cause
BRA,Bresil,2016,278755287.80540955,1449310.1101212618,Agriculture
BRA,Bresil,2017,182961554.38754126,1043539.4461158158,Agriculture
BRA,Bresil,2012,109240597.48256099,668250.0605236707,Agriculture
BRA,Bresil,2010,115864631.5042324,676789.7648874264,Agriculture
BRA,Bresil,2018,133361142.16202252,757927.4127510583,Agriculture
BRA,Bresil,2014,110735288.31398822,679361.5910038617,Agriculture
BRA,Bresil,2019,103790187.68033542,578329.7914758541,Agriculture
BRA,Bresil,2007,100060840.83580986,573736.031531961,Agriculture
BRA,Bresil,2006,120735529.74742626,654264.536490801,Agriculture
BRA,Bresil,2009,91488073.22186375,477692.30037193024,Agriculture
BRA,Bresil,2013,96401922.24726172,569228.8544176166,Agriculture
BRA,Bresil,2005,134564020.35339722,683524.1643032577,Agriculture
BRA,Bresil,2011,76024317.6459088,409665.80007501,Agriculture
BRA,Bresil,2015,87130941.4585889,525780.6027160242,Agriculture
BRA,Bresil,2008,106976174.07786644,612481.0665862476,Agriculture
BRA,Bresil,2004,111283170.8218744,588549.3136098955,Agriculture
BRA,Bresil,2002,123398644.74664368,646015.5776707728,Agriculture
BRA,Bresil,2001,109132043.74193138,616490.4406765371,Agriculture
BRA,Bresil,2003,91407946.81372567,525063.4996468541,Agriculture
BRA,Bresil,2017,577289607.2350845,2975768.4584204657,Deforestation due aux produits de base
BRA,Bresil,2016,727857579.4623435,3507483.9169829716,Deforestation due aux produits de base
BRA,Bresil,2012,336662240.48344237,1808501.6213790728,Deforestation due aux produits de base
BRA,Bresil,2018,386036334.4918244,1870917.3468613734,Deforestation due aux produits de base
BRA,Bresil,2019,392917944.6263291,1841581.3350337031,Deforestation due aux produits de base
BRA,Bresil,2005,533723931.2818929,2452875.6471702065,Deforestation due aux produits de base
BRA,Bresil,2007,333088820.0301968,1718569.8108813348,Deforestation due aux produits de base
BRA,Bresil,2010,326570170.0981156,1660634.4915625046,Deforestation due aux produits de base
BRA,Bresil,2008,309346175.69391364,1511585.0069475272,Deforestation due aux produits de base
BRA,Bresil,2004,591154935.8328583,2916947.9016259033,Deforestation due aux produits de base
BRA,Bresil,2014,292689690.731603,1627171.9812600678,Deforestation due aux produits de base
BRA,Bresil,2006,397437658.6179736,1879981.5434942134,Deforestation due aux produits de base
BRA,Bresil,2002,488547531.21392465,2508881.5590775763,Deforestation due aux produits de base
BRA,Bresil,2003,459329276.348693,2396439.3153956765,Deforestation due aux produits de base
BRA,Bresil,2011,231971304.0305931,1222750.39163193,Deforestation due aux produits de base
BRA,Bresil,2009,207479776.02054822,1073686.3520915923,Deforestation due aux produits de base
BRA,Bresil,2001,340507507.23954284,1803197.233784175,Deforestation due aux produits de base
BRA,Bresil,2013,192688511.04005253,1101686.480789632,Deforestation due aux produits de base
BRA,Bresil,2015,263122825.89799935,1451016.0739412524,Deforestation due aux produits de base
BRA,Bresil,2012,6616211.238485405,27403.16608288898,Autres
BRA,Bresil,2017,5128053.584294319,21440.727277317204,Autres
BRA,Bresil,2016,4905092.075183362,20748.07544773221,Autres
BRA,Bresil,2014,3374014.9042143635,14476.36323953184,Autres
BRA,Bresil,2010,2441676.175227504,11233.226114060188,Autres
BRA,Bresil,2011,2352240.4591507455,10235.039602458877,Autres
BRA,Bresil,2005,1889479.1188342045,8956.591877953564,Autres
BRA,Bresil,2009,1955810.2203115835,8829.375399865923,Autres
BRA,Bresil,2008,1921986.266754047,9058.126953649824,Autres
BRA,Bresil,2007,1881985.315578834,9037.021812969446,Autres
BRA,Bresil,2013,3030164.7677989956,12118.668626512901,Autres
BRA,Bresil,2006,1787969.502280145,8472.121477136932,Autres
BRA,Bresil,2019,3964769.8961018943,16096.087889956187,Autres
BRA,Bresil,2001,1987134.7995145712,10507.709450763807,Autres
BRA,Bresil,2004,1948006.3446176662,9139.812780203985,Autres
BRA,Bresil,2002,1622916.5476481614,7631.595639127281,Autres
BRA,Bresil,2018,3000542.585459481,11933.642889886549,Autres
BRA,Bresil,2003,1501370.727815784,7857.169634870846,Autres
BRA,Bresil,2015,1960514.7840872817,7987.898938638375,Autres
BRA,Bresil,2017,56169363.83963147,472425.51804251835,Foresterie
BRA,Bresil,2016,45743039.8175431,392856.017496057,Foresterie
BRA,Bresil,2018,35247806.75430352,302083.28951657756,Foresterie
BRA,Bresil,2014,41735898.72617103,364749.5108078531,Foresterie
BRA,Bresil,2012,49339399.670515224,405722.57203397615,Foresterie
BRA,Bresil,2006,43937128.60290088,328492.61927703087,Foresterie
BRA,Bresil,2007,41921327.434620656,313841.6398339515,Foresterie
BRA,Bresil,2008,40558000.633784816,305106.80018981965,Foresterie
BRA,Bresil,2002,47333615.7492692,339328.35306070605,Foresterie
BRA,Bresil,2019,28757412.470838085,256326.55782900436,Foresterie
BRA,Bresil,2001,42668701.848279685,310840.2006204982,Foresterie
BRA,Bresil,2005,46347476.93214096,336612.8087878381,Foresterie
BRA,Bresil,2003,42748447.899457976,314702.47268579743,Foresterie
BRA,Bresil,2004,44545932.58916376,329654.65411792847,Foresterie
BRA,Bresil,2010,45685151.77288808,332669.34778396436,Foresterie
BRA,Bresil,2013,29320305.14080495,255906.04668458534,Foresterie
BRA,Bresil,2015,26895288.342615798,234623.83598690887,Foresterie
BRA,Bresil,2009,33746533.83483861,251750.55338209504,Foresterie
BRA,Bresil,2011,37220341.99587776,277129.9532557616,Foresterie
BRA,Bresil,2012,520364.98632620415,5595.303415155703,Feu de foret
BRA,Bresil,2010,341816.3775961431,4796.539139735038,Feu de foret
BRA,Bresil,2006,284814.71493127674,3831.5406239731865,Feu de foret
BRA,Bresil,2004,287089.7791748276,2838.7472888507386,Feu de foret
BRA,Bresil,2016,575140.161689397,5584.414483446438,Feu de foret
BRA,Bresil,2017,337511.24887274107,3062.6620083792054,Feu de foret
BRA,Bresil,2002,250790.1921766604,2807.9632898788122,Feu de foret
BRA,Bresil,2001,299607.38043963857,3516.8474004342943,Feu de foret
BRA,Bresil,2005,301327.9429102049,2994.827943350573,Feu de foret
BRA,Bresil,2013,270315.58471231617,3547.655536792544,Feu de foret
